Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
Business Data Analyst,Kaplan,4.7,10,2-5,Not disclosed,30,Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-kaplan-bengaluru-bangalore-2-to-5-years-301020501172?src=jobsearchDesk&sid=16266121219792924&xp=15&px=9,"Computer science,Data analysis,Service level,Analytical,Machine learning,Marketing operations,Data mining,SQL,"
Business/Data Analyst - SSE/LA,CGI Information Systems and Management Consultants,4.2,250,2-5,Not disclosed,30,Bangalore/Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-sse-la-cgi-information-systems-and-management-consultants-bangalore-bengaluru-2-to-5-years-160621908825?src=jobsearchDesk&sid=16266121219792924&xp=17&px=9,"verbal communication,Javascript,written,analytical,No SQL,ETL frameworks,ETL,Agile,"
Data/Business Analyst/Product Manager,Harman Connected Services Corporation India Pvt.,3.7,595,4-8,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-business-analyst-product-manager-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-4-to-8-years-140721500405?src=jobsearchDesk&sid=16266121219792924&xp=20&px=9,"Product training,Automation,Due diligence,Claims,HP data protector,Staffing,Succession planning,data privacy,"
Data/Business Analyst/Product Manager,Harman Connected Services Corporation India Pvt.,3.7,595,4-8,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-business-analyst-product-manager-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-4-to-8-years-140721500405?src=jobsearchDesk&sid=16266121394165445&xp=1&px=10,"Product training,Automation,Due diligence,Claims,HP data protector,Staffing,Succession planning,data privacy,"
Data/Business Analyst/Product Manager,Harman Connected Services Corporation India Pvt.,3.7,595,3-8,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-business-analyst-product-manager-harman-connected-services-corporation-india-pvt-bangalore-bengaluru-3-to-8-years-140721500347?src=jobsearchDesk&sid=16266121394165445&xp=2&px=10,"Product training,Automation,Due diligence,Claims,HP data protector,Staffing,Succession planning,data privacy,"
Senior Data Analyst,Indegene Private Limited,3.8,285,5-8,Not disclosed,30,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-indegene-private-limited-bengaluru-bangalore-5-to-8-years-190819501048?src=jobsearchDesk&sid=16266121394165445&xp=3&px=10,"IT Skills,Project Management,MS SQL,.Net,BPO,project management,Data management,Debugging,"
Senior Data Analyst ,Peopleplus Professional Services Pvt. Ltd.,3.3,3,0-15,Not disclosed,30,Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-peopleplus-professional-services-pvt-ltd-bengaluru-bangalore-10-to-15-years-100321501806?src=jobsearchDesk&sid=16266121394165445&xp=4&px=10,"Computer science,Software development methodologies,Machine learning,Agile,Presales,Data analytics,Data Analyst,Information management,"
Immediate job openings For Partner Consultant - Sizing(Data Analyst) ,RANDSTAD INDIA PVT LTD,4.1,1147,1-5,"1,50,000 - more than 3,00,000 PA.",22,Bangalore/Bengaluru(Marathahalli),https://www.naukri.com/job-listings-immediate-openings-for-partner-consultant-sizing-data-analyst-randstad-india-pvt-ltd-bangalore-bengaluru-1-to-5-years-260621001029?src=jobsearchDesk&sid=16266121394165445&xp=6&px=10,"Payroll,Excel,Data Interpretation,MIS Operations,Report Preparation,Problem Solving,Data Analysis,Charts,"
"Data Analyst/Sr. Data Analyst, Edureka",Edureka!,3.2,41,4-7,Not disclosed,30,Bengaluru,https://www.naukri.com/job-listings-data-analyst-sr-data-analyst-edureka-edureka-bengaluru-bangalore-4-to-7-years-261018502531?src=jobsearchDesk&sid=16266121394165445&xp=10&px=10,"E-learning,PDF,SAS,Web analytics,Senior Analyst,Senior Data Analyst,Customer support,Customer service,"
Consultant-Data Analyst -Bangalore,Innovsource Services Private Limited,4.2,644,2-3,Not disclosed,17,Bangalore/Bengaluru,https://www.naukri.com/job-listings-consultant-data-analyst-bangalore-innovsource-services-private-limited-bangalore-bengaluru-2-to-3-years-010721007032?src=jobsearchDesk&sid=16266121394165445&xp=12&px=10,"R,Power Bi,Data Management,Data Analysis,Omniture,Data Analytics,SQL,Business Analysis,"
Data Analyst,WEIWO Communication Pvt. Ltd.,4.4,26,5-8,Not disclosed,25,Bangalore/Bengaluru(Ulsoor),https://www.naukri.com/job-listings-data-analyst-weiwo-communication-pvt-ltd-bangalore-bengaluru-5-to-8-years-230621001207?src=jobsearchDesk&sid=16266121394165445&xp=13&px=10,"Management Reporting,mis preparation,ms excel,Internal Control,mis reporting,Business Analytics,mis executive,mis,"
